index,time,kernel,dimension,blocksize
0,0.0893598,36,7680,1280
1,0.0892743,36,7680,1280
2,0.0892743,36,7680,1280
3,0.0599119,36,7680,1280
4,0.0576994,36,7680,1280
5,0.0582013,36,7680,1280
6,0.0581385,36,7680,1280
7,0.0581359,36,7680,1280
8,0.0581394,36,7680,1280
9,0.0581385,36,7680,1280
10,0.0581384,36,7680,1280
11,0.058139,36,7680,1280
12,0.0581383,36,7680,1280
13,0.0581399,36,7680,1280
14,0.0581366,36,7680,1280
15,0.0581366,36,7680,1280
16,0.0581369,36,7680,1280
17,0.0581383,36,7680,1280
18,0.0600039,36,7680,1280
19,0.060117,36,7680,1280
20,0.0599137,36,7680,1280
21,0.0589955,36,7680,1280
22,0.0582867,36,7680,1280
23,0.0581402,36,7680,1280
24,0.0581403,36,7680,1280
25,0.0581394,36,7680,1280
26,0.0581385,36,7680,1280
27,0.0581403,36,7680,1280
28,0.0581397,36,7680,1280
29,0.0585249,36,7680,1280
30,0.059196,36,7680,1280
31,0.0584255,36,7680,1280
32,0.0581406,36,7680,1280
33,0.0581756,36,7680,1280
34,0.0588476,36,7680,1280
35,0.0588464,36,7680,1280
36,0.0594069,36,7680,1280
37,0.0600351,36,7680,1280
38,0.0591075,36,7680,1280
39,0.0584008,36,7680,1280
40,0.0581375,36,7680,1280
41,0.0581407,36,7680,1280
42,0.0581365,36,7680,1280
43,0.0581361,36,7680,1280
44,0.0581377,36,7680,1280
45,0.0589078,36,7680,1280
46,0.0592826,36,7680,1280
47,0.058395,36,7680,1280
48,0.0581374,36,7680,1280
49,0.0581374,36,7680,1280
50,0.0583162,36,7680,1280
51,0.058847,36,7680,1280
52,0.0591783,36,7680,1280
53,0.0592551,36,7680,1280
54,0.0588473,36,7680,1280
55,0.058848,36,7680,1280
56,0.0582973,36,7680,1280
57,0.0581385,36,7680,1280
58,0.0581394,36,7680,1280
59,0.0581373,36,7680,1280
60,0.0581383,36,7680,1280
61,0.058813,36,7680,1280
62,0.0590643,36,7680,1280
63,0.0591336,36,7680,1280
64,0.0585656,36,7680,1280
65,0.0585512,36,7680,1280
66,0.0581371,36,7680,1280
67,0.0582033,36,7680,1280
68,0.0588476,36,7680,1280
69,0.0588497,36,7680,1280
70,0.0588484,36,7680,1280
71,0.0588478,36,7680,1280
72,0.0586257,36,7680,1280
73,0.0581385,36,7680,1280
74,0.0581392,36,7680,1280
75,0.0581389,36,7680,1280
76,0.0582568,36,7680,1280
77,0.0588501,36,7680,1280
78,0.0588494,36,7680,1280
79,0.0588472,36,7680,1280
80,0.058847,36,7680,1280
81,0.058581,36,7680,1280
82,0.0581407,36,7680,1280
83,0.0585021,36,7680,1280
84,0.0589295,36,7680,1280
85,0.0586514,36,7680,1280
86,0.0585521,36,7680,1280
87,0.0588481,36,7680,1280
88,0.058848,36,7680,1280
89,0.0582612,36,7680,1280
90,0.0585548,36,7680,1280
91,0.0584137,36,7680,1280
92,0.0581399,36,7680,1280
93,0.0581573,36,7680,1280
94,0.0588473,36,7680,1280
95,0.0588476,36,7680,1280
96,0.0588465,36,7680,1280
97,0.0588505,36,7680,1280
98,0.0581929,36,7680,1280
99,0.0582766,36,7680,1280
100,0.0591821,36,7680,1280
101,0.0592641,36,7680,1280
102,0.0582773,36,7680,1280
103,0.0586825,36,7680,1280
104,0.0588478,36,7680,1280
105,0.0583401,36,7680,1280
106,0.0581416,36,7680,1280
107,0.0581409,36,7680,1280
108,0.0581392,36,7680,1280
109,0.058535,36,7680,1280
110,0.0588486,36,7680,1280
111,0.058849,36,7680,1280
112,0.0588486,36,7680,1280
113,0.0588485,36,7680,1280
114,0.0587813,36,7680,1280
115,0.0581775,36,7680,1280
116,0.0588461,36,7680,1280
117,0.0591273,36,7680,1280
118,0.0590799,36,7680,1280
119,0.0581808,36,7680,1280
120,0.0586215,36,7680,1280
121,0.0591546,36,7680,1280
122,0.058383,36,7680,1280
123,0.0581366,36,7680,1280
124,0.0581415,36,7680,1280
125,0.0581366,36,7680,1280
126,0.0586671,36,7680,1280
127,0.0588468,36,7680,1280
128,0.0588471,36,7680,1280
129,0.0588475,36,7680,1280
130,0.058637,36,7680,1280
131,0.0584935,36,7680,1280
132,0.0589091,36,7680,1280
133,0.0588463,36,7680,1280
134,0.0588492,36,7680,1280
135,0.0584948,36,7680,1280
136,0.058499,36,7680,1280
137,0.0592913,36,7680,1280
138,0.0587997,36,7680,1280
139,0.0581387,36,7680,1280
140,0.0581392,36,7680,1280
141,0.058138,36,7680,1280
142,0.0581375,36,7680,1280
143,0.058793,36,7680,1280
144,0.0588491,36,7680,1280
145,0.0588475,36,7680,1280
146,0.0587291,36,7680,1280
147,0.0582229,36,7680,1280
148,0.0588464,36,7680,1280
149,0.058846,36,7680,1280
150,0.0588453,36,7680,1280
151,0.0588307,36,7680,1280
152,0.0583707,36,7680,1280
153,0.0588468,36,7680,1280
154,0.0588478,36,7680,1280
155,0.0586745,36,7680,1280
156,0.0581845,36,7680,1280
157,0.0585236,36,7680,1280
158,0.0583737,36,7680,1280
159,0.0581379,36,7680,1280
160,0.0586872,36,7680,1280
161,0.0588488,36,7680,1280
162,0.0585782,36,7680,1280
163,0.0583791,36,7680,1280
164,0.0588473,36,7680,1280
165,0.0588459,36,7680,1280
166,0.0588458,36,7680,1280
167,0.0588474,36,7680,1280
168,0.0583558,36,7680,1280
169,0.0588487,36,7680,1280
170,0.0588467,36,7680,1280
