index,time,kernel,dimension,blocksize,operation
0,2.04238,400,25600,1280,launch
1,2.05226,400,25600,1280,launch
2,2.05304,400,25600,1280,launch
3,2.05902,400,25600,1280,launch
4,2.06204,400,25600,1280,launch
5,2.06216,400,25600,1280,launch
6,2.06438,400,25600,1280,launch
7,2.06644,400,25600,1280,launch
8,2.06709,400,25600,1280,launch
9,2.07025,400,25600,1280,launch
10,2.07345,400,25600,1280,launch
11,2.07599,400,25600,1280,launch
12,2.07575,400,25600,1280,launch
13,2.07754,400,25600,1280,launch
14,2.07896,400,25600,1280,launch
15,2.0798,400,25600,1280,launch
16,2.08056,400,25600,1280,launch
17,2.08294,400,25600,1280,launch
18,2.08373,400,25600,1280,launch
19,2.08502,400,25600,1280,launch
20,2.08427,400,25600,1280,launch
21,2.08599,400,25600,1280,launch
22,2.08647,400,25600,1280,launch
23,2.0858,400,25600,1280,launch
24,2.08885,400,25600,1280,launch
25,2.09002,400,25600,1280,launch
26,2.09064,400,25600,1280,launch
27,2.09067,400,25600,1280,launch
28,2.09143,400,25600,1280,launch
29,2.09328,400,25600,1280,launch
30,2.09169,400,25600,1280,launch
31,2.09117,400,25600,1280,launch
32,2.09349,400,25600,1280,launch
33,2.09396,400,25600,1280,launch
34,2.09518,400,25600,1280,launch
35,2.09497,400,25600,1280,launch
36,2.09578,400,25600,1280,launch
37,2.09557,400,25600,1280,launch
38,2.09616,400,25600,1280,launch
39,2.09855,400,25600,1280,launch
40,2.09656,400,25600,1280,launch
41,2.09568,400,25600,1280,launch
42,2.09779,400,25600,1280,launch
43,2.09636,400,25600,1280,launch
44,2.09827,400,25600,1280,launch
45,2.09828,400,25600,1280,launch
46,2.09809,400,25600,1280,launch
47,2.09764,400,25600,1280,launch
48,2.1,400,25600,1280,launch
49,2.09891,400,25600,1280,launch
50,2.09905,400,25600,1280,launch
51,2.0986,400,25600,1280,launch
52,2.09811,400,25600,1280,launch
53,2.09913,400,25600,1280,launch
54,2.09791,400,25600,1280,launch
55,2.09817,400,25600,1280,launch
56,2.09823,400,25600,1280,launch
57,2.09756,400,25600,1280,launch
58,2.10019,400,25600,1280,launch
59,2.09912,400,25600,1280,launch
60,2.09671,400,25600,1280,launch
61,2.09663,400,25600,1280,launch
62,2.09911,400,25600,1280,launch
63,2.09755,400,25600,1280,launch
64,2.0979,400,25600,1280,launch
65,2.09862,400,25600,1280,launch
66,2.09831,400,25600,1280,launch
67,2.09969,400,25600,1280,launch
68,2.0972,400,25600,1280,launch
69,2.09794,400,25600,1280,launch
70,2.09794,400,25600,1280,launch
71,2.09605,400,25600,1280,launch
72,2.0985,400,25600,1280,launch
73,2.09806,400,25600,1280,launch
74,2.09831,400,25600,1280,launch
75,2.09842,400,25600,1280,launch
76,2.09712,400,25600,1280,launch
77,2.09773,400,25600,1280,launch
78,2.09851,400,25600,1280,launch
79,2.09787,400,25600,1280,launch
80,2.09587,400,25600,1280,launch
81,2.09702,400,25600,1280,launch
82,2.09699,400,25600,1280,launch
83,2.09656,400,25600,1280,launch
84,2.09604,400,25600,1280,launch
85,2.09506,400,25600,1280,launch
86,2.09695,400,25600,1280,launch
87,2.095,400,25600,1280,launch
88,2.09802,400,25600,1280,launch
89,2.09638,400,25600,1280,launch
90,2.0968,400,25600,1280,launch
91,2.0954,400,25600,1280,launch
92,2.09492,400,25600,1280,launch
93,2.09433,400,25600,1280,launch
94,2.09741,400,25600,1280,launch
95,2.09578,400,25600,1280,launch
96,2.09552,400,25600,1280,launch
97,2.09506,400,25600,1280,launch
98,2.09502,400,25600,1280,launch
99,2.09627,400,25600,1280,launch
100,2.0955,400,25600,1280,launch
101,2.09501,400,25600,1280,launch
102,2.0962,400,25600,1280,launch
103,2.09616,400,25600,1280,launch
104,2.09396,400,25600,1280,launch
105,2.0955,400,25600,1280,launch
106,2.09459,400,25600,1280,launch
107,2.09444,400,25600,1280,launch
108,2.09649,400,25600,1280,launch
109,2.09416,400,25600,1280,launch
110,2.09438,400,25600,1280,launch
111,2.09424,400,25600,1280,launch
112,2.09358,400,25600,1280,launch
113,2.09298,400,25600,1280,launch
114,2.09529,400,25600,1280,launch
115,2.09419,400,25600,1280,launch
116,2.09433,400,25600,1280,launch
117,2.09351,400,25600,1280,launch
118,2.09229,400,25600,1280,launch
119,2.09257,400,25600,1280,launch
120,2.09273,400,25600,1280,launch
121,2.09368,400,25600,1280,launch
122,2.09409,400,25600,1280,launch
123,2.09435,400,25600,1280,launch
124,2.09229,400,25600,1280,launch
125,2.09189,400,25600,1280,launch
126,2.0936,400,25600,1280,launch
127,2.09483,400,25600,1280,launch
128,2.09283,400,25600,1280,launch
129,2.0955,400,25600,1280,launch
130,2.09284,400,25600,1280,launch
131,2.09266,400,25600,1280,launch
132,2.09205,400,25600,1280,launch
133,2.09285,400,25600,1280,launch
134,2.09147,400,25600,1280,launch
135,2.09355,400,25600,1280,launch
136,2.09247,400,25600,1280,launch
137,2.09306,400,25600,1280,launch
138,2.09428,400,25600,1280,launch
139,2.09278,400,25600,1280,launch
140,2.09189,400,25600,1280,launch
141,2.09463,400,25600,1280,launch
142,2.09134,400,25600,1280,launch
143,2.09239,400,25600,1280,launch
144,2.09396,400,25600,1280,launch
145,2.09182,400,25600,1280,launch
146,2.09153,400,25600,1280,launch
147,2.0938,400,25600,1280,launch
148,2.09086,400,25600,1280,launch
149,2.09288,400,25600,1280,launch
150,2.09315,400,25600,1280,launch
151,2.09284,400,25600,1280,launch
152,2.09163,400,25600,1280,launch
153,2.0931,400,25600,1280,launch
154,2.09242,400,25600,1280,launch
155,2.09251,400,25600,1280,launch
156,2.09338,400,25600,1280,launch
157,2.09354,400,25600,1280,launch
158,2.09175,400,25600,1280,launch
159,2.09328,400,25600,1280,launch
160,2.09147,400,25600,1280,launch
161,2.09297,400,25600,1280,launch
162,2.09256,400,25600,1280,launch
163,2.09255,400,25600,1280,launch
164,2.09142,400,25600,1280,launch
165,2.0921,400,25600,1280,launch
166,2.09361,400,25600,1280,launch
167,2.09263,400,25600,1280,launch
168,2.09387,400,25600,1280,launch
169,2.09186,400,25600,1280,launch
170,2.09506,400,25600,1280,launch
171,2.09304,400,25600,1280,launch
172,2.09431,400,25600,1280,launch
173,2.09255,400,25600,1280,launch
174,2.09445,400,25600,1280,launch
175,2.09159,400,25600,1280,launch
176,2.09147,400,25600,1280,launch
177,2.09261,400,25600,1280,launch
178,2.09212,400,25600,1280,launch
179,2.09282,400,25600,1280,launch
180,2.09331,400,25600,1280,launch
181,2.09115,400,25600,1280,launch
182,2.09117,400,25600,1280,launch
183,2.09234,400,25600,1280,launch
184,2.09363,400,25600,1280,launch
185,2.09261,400,25600,1280,launch
186,2.09154,400,25600,1280,launch
187,2.09455,400,25600,1280,launch
188,2.09181,400,25600,1280,launch
189,2.09371,400,25600,1280,launch
190,2.09261,400,25600,1280,launch
191,2.09293,400,25600,1280,launch
192,2.09261,400,25600,1280,launch
193,2.0946,400,25600,1280,launch
194,2.09374,400,25600,1280,launch
195,2.093,400,25600,1280,launch
196,2.09267,400,25600,1280,launch
197,2.09201,400,25600,1280,launch
198,2.09048,400,25600,1280,launch
199,2.09258,400,25600,1280,launch
